catalog_id,catalog_aliases,title,issn,eissn,all_issns,title_aliases,area,utd_rank,utd_rating,abs_rank,abs_rating,fms_rank,fms_rating,fmscn_rank,fmscn_rating
issn-0734-2071,,ACM Transactions on Computer Systems,0734-2071,1557-7333,0734-2071;1557-7333,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-1553-3077,,ACM Transactions on Storage,1553-3077,1553-3093,1553-3077;1553-3093,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-0278-0070,,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,0278-0070,1937-4151,0278-0070;1937-4151,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-0018-9340,,IEEE Transactions on Computers,0018-9340,1557-9956,0018-9340;1557-9956;2326-3814,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-1045-9219,,IEEE Transactions on Parallel and Distributed Systems,1045-9219,1558-2183,1045-9219;1558-2183;2161-9883,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-1544-3566,,ACM Transactions on Architecture and Code Optimization,1544-3566,1544-3973,1544-3566;1544-3973,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-1556-4665,,ACM Transactions on Autonomous and Adaptive Systems,1556-4665,1556-4703,1556-4665;1556-4703,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-1084-4309,,ACM Transactions on Design Automation of Electronic Systems,1084-4309,1557-7309,1084-4309;1557-7309,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-1539-9087,,ACM Transactions on Embedded Computing Systems,1539-9087,1558-3465,1539-9087;1558-3465,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-1936-7406,,ACM Transactions on Reconfigurable Technology and Systems,1936-7406,1936-7414,1936-7406;1936-7414,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-1063-8210,,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,1063-8210,1557-9999,1063-8210;1557-9999,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-0743-7315,,Journal of Parallel and Distributed Computing,0743-7315,1096-0848,0743-7315;1096-0848,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-1383-7621,,Journal of Systems Architecture: Embedded Software Design,1383-7621,,1383-7621,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-0167-8191,,Parallel Computing,0167-8191,1872-7336,0167-8191;1872-7336,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-0166-5316,,Performance Evaluation: An International Journal,0166-5316,,0166-5316,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-2168-7161,,IEEE Transactions on Cloud Computing,2168-7161,2372-0018,2168-7161;2372-0018,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-1550-4832,,ACM Journal on Emerging Technologies in Computing Systems,1550-4832,1550-4840,1550-4832;1550-4840,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-1532-0626,,Concurrency and Computation: Practice and Experience,1532-0626,1532-0634,1532-0626;1532-0634,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-0178-2770,,Distributed Computing,0178-2770,1432-0452,0178-2770;1432-0452,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-0167-739x,,Future Generation Computer Systems,0167-739X,1872-7115,0167-739X;1872-7115,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-0167-9260,,"Integration, the VLSI Journal",0167-9260,1872-7522,0167-9260;1872-7522,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
issn-0923-8174,,Journal of Electronic Testing-Theory and Applications,0923-8174,1573-0727,0923-8174;1573-0727,,计算机体系结构/并行与分布计算/存储系统,,,,,,,,
