catalog_id,title,issn,eissn,all_issns,title_aliases,area,utd_rank,utd_rating,abs_rank,abs_rating,fms_rank,fms_rating,fmscn_rank,fmscn_rating
issn-1002-9621,世界经济,1002-9621,,1002-9621,,Economics,,,,,,,18,T1
issn-0253-9772,世界经济文汇,0253-9772,,0253-9772,,Economics,,,,,,,73,T2
issn-1007-6964,世界经济研究,1007-6964,,1007-6964,,Economics,,,,,,,74,T2
issn-1002-2104,中国人口·资源与环境,1002-2104,,1002-2104,,"Regional, Environmental & Resource Studies",,,,,,,91,T2
issn-1002-8870,中国农村经济,1002-8870,,1002-8870,,Agricultural Economics,,,,,,,25,T1
issn-1006-4583,中国农村观察,1006-4583,,1006-4583,,Agricultural Economics,,,,,,,90,T2
issn-1001-8867,中国图书馆学报,1001-8867,,1001-8867,,Information & Library Science,,,,,,,28,T1
issn-1006-480x,中国工业经济,1006-480X,,1006-480X,,Economics,,,,,,,23,T1
issn-1002-4921,中国社会科学,1002-4921,,1002-4921,,Social Sciences,,,,,,,27,T1
issn-1003-207x,中国管理科学,1003-207X,,1003-207X,,Operations & Management Science,,,,,,,24,T1
issn-1000-4181,中国经济问题,1000-4181,,1000-4181,,Economics,,,,,,,89,T2
issn-1006-0863,中国行政管理,1006-0863,,1006-0863,,Public Administration & Policy,,,,,,,92,T2
issn-1005-0566,中国软科学,1005-0566,,1005-0566,,Strategy & Innovation,,,,,,,26,T1
issn-1009-6744,交通运输系统工程与信息,1009-6744,,1009-6744,,"Tourism, Hospitality & Transportation",,,,,,,50,T2
issn-1671-9301,产业经济研究,1671-9301,,1671-9301,,Economics,,,,,,,35,T2
issn-2096-9554,会计与经济研究,2096-9554,,2096-9554,,Accounting & Auditing,,,,,,,49,T2
issn-1003-2886,会计研究,1003-2886,,1003-2886,,Accounting & Auditing,,,,,,,9,T1
issn-1004-3306,保险研究,1004-3306,,1004-3306,,Finance,,,,,,,29,T2
title-f802dff2df8e0f2bf785deaf,信息系统学报,,,,,Information Systems,,,,,,,84,T2
issn-2095-2171,信息资源管理学报,2095-2171,,2095-2171,,Information & Library Science,,,,,,,85,T2
issn-1672-6162,公共管理学报,1672-6162,,1672-6162,,Public Administration & Policy,,,,,,,2,T1
issn-2096-7713,公共管理评论,2096-7713,,2096-7713,,Public Administration & Policy,,,,,,,41,T2
issn-1674-2486,公共行政评论,1674-2486,,1674-2486,,Public Administration & Policy,,,,,,,42,T2
issn-1000-6370,农业技术经济,1000-6370,,1000-6370,,Agricultural Economics,,,,,,,69,T2
