catalog_id,title,issn,eissn,all_issns,title_aliases,area,utd_rank,utd_rating,abs_rank,abs_rating,fms_rank,fms_rating,fmscn_rank,fmscn_rating
issn-0001-3072,Abacus,0001-3072,1467-6281,0001-3072;1467-6281,,Accounting & Auditing,,,7,3,7,B,,
issn-1941-6067,Academy of Management Annals,1941-6067,1941-6520,1941-6067;1941-6520,,Management & Organization,,,510,4*,393,B,,
issn-2168-1007,Academy of Management Discoveries,2168-1007,,2168-1007,,Management & Organization,,,518,3,394,B,,
issn-0001-4273,Academy of Management Journal,0001-4273,1948-0989,0001-4273;1948-0989,,Management & Organization,19,UTD24,511,4*,387,A,,
issn-1537-260x,Academy of Management Learning and Education,1537-260X,1944-9585,1537-260X;1944-9585,,Education Management,,,1007,4*,191,A,,
issn-1558-9080,Academy of Management Perspectives,1558-9080,,1558-9080,,Management & Organization,,,515,4,395,B,,
issn-0363-7425,Academy of Management Review,0363-7425,1930-3807,0363-7425;1930-3807,,Management & Organization,20,UTD24,512,4*,388,A,,
issn-0001-4575,Accident Analysis and Prevention,0001-4575,1879-2057,0001-4575;1879-2057,,Risk & Safety Management,,,1411,3,1052,B,,
issn-0001-4788,Accounting and Business Research,0001-4788,2159-4260,0001-4788;2159-4260,,Accounting & Auditing,,,8,3,8,B,,
issn-0951-3574,"Accounting, Auditing and Accountability Journal",0951-3574,1758-4205,0951-3574;1758-4205,,Accounting & Auditing,,,11,3,9,B,,
issn-1467-6303,Accounting Forum,1467-6303,,1467-6303,,Accounting & Auditing,,,9,3,,,,
issn-0888-7993,Accounting Horizons,0888-7993,1558-7975,0888-7993;1558-7975,,Accounting & Auditing,,,10,3,10,B,,
issn-0361-3682,"Accounting, Organizations and Society",0361-3682,1873-6289,0361-3682;1873-6289,,Accounting & Auditing,,,2,4*,1,A,,
issn-0001-4826,The Accounting Review,0001-4826,1558-7967,0001-4826;1558-7967,,Accounting & Auditing,1,UTD24,1,4*,2,A,,
issn-1073-0516,ACM Transactions on Computer-Human Interaction,1073-0516,,1073-0516,,Information Systems,,,,,567,B,,
issn-1046-8188,ACM Transactions on Information Systems,1046-8188,,1046-8188,,Information Systems,,,,,568,B,,
issn-1556-4681,ACM Transactions on Knowledge Discovery from Data,1556-4681,,1556-4681,,Information Systems,,,,,569,B,,
issn-2158-656x,ACM Transactions on Management Information Systems,2158-656X,,2158-656X,,Information Systems,,,,,570,B,,
issn-1049-3301,ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,1049-3301;1558-1195,,Operations & Management Science,,,1221,3,847,B,,
issn-0095-3997,Administration & Society,0095-3997,,0095-3997,,Public Administration & Policy,,,,,972,B,,
issn-0001-8392,Administrative Science Quarterly,0001-8392,1930-3815,0001-8392;1930-3815,,Management & Organization,21,UTD24,513,4*,389,A,,
issn-1468-2621,African Affairs,1468-2621,,1468-2621,,International Business & Affairs,,,807,3,,,,
issn-0169-5150,Agricultural Economics,0169-5150,,0169-5150,,Agricultural Economics,,,,,63,B,,
issn-1945-7782,American Economic Journal: Applied Economics,1945-7782,1945-7790,1945-7782;1945-7790,,Economics,,,125,4,490,A,,
issn-1945-7731,American Economic Journal: Economic Policy,1945-7731,1945-774X,1945-7731;1945-774X,,Economics,,,146,3,494,B,,
issn-1945-7707,American Economic Journal: Macroeconomics,1945-7707,1945-7715,1945-7707;1945-7715,,Economics,,,126,4,727,A,,
issn-1945-7669,American Economic Journal: Microeconomics,1945-7669,1945-7685,1945-7669;1945-7685,,Economics,,,147,3,166,A,,
issn-0002-8282,American Economic Review,0002-8282,1944-7981,0002-8282;1944-7981,,Economics,,,119,4*,323,A,,
issn-2640-205x,American Economic Review: Insights,2640-205X,2640-2068,2640-205X;2640-2068,,Economics,,,148,3,333,B,,
issn-0002-9092,American Journal of Agricultural Economics,0002-9092,1467-8276,0002-9092;1467-8276,,Agricultural Economics,,,149,3,62,A,,
issn-2332-3493,American Journal of Health Economics,2332-3493,,2332-3493,,Health Management & Economics,,,,,432,B,,
issn-0092-5853,American Journal of Political Science,0092-5853,1540-5907,0092-5853;1540-5907,,Social Sciences,,,1681,4*,,,,
issn-0090-0036,American Journal of Public Health,0090-0036,,0090-0036,,Health Management & Economics,,,,,433,B,,
issn-1537-5390,American Journal of Sociology,1537-5390,,1537-5390,,Social Sciences,,,1682,4*,,,,
issn-0003-0554,American Political Science Review,0003-0554,1537-5943,0003-0554;1537-5943,,Social Sciences,,,1683,4*,,,,
issn-0275-0740,American Review of Public Administration,0275-0740,1552-3357,0275-0740;1552-3357,,Public Administration & Policy,,,1475,3,973,B,,
issn-1939-8271,American Sociological Review,1939-8271,,1939-8271,,Social Sciences,,,1684,4*,,,,
issn-1932-6157,Annals of Applied Statistics,1932-6157,,1932-6157,,Statistics & Econometrics,,,,,134,B,,
issn-0254-5330,Annals of Operations Research,0254-5330,1572-9338,0254-5330;1572-9338,,Operations & Management Science,,,1222,3,848,B,,
issn-0090-5364,Annals of Statistics,0090-5364,2168-8966,0090-5364;2168-8966,,Statistics & Econometrics,,,120,4*,127,A,,
issn-0160-7383,Annals of Tourism Research,0160-7383,1873-7722,0160-7383;1873-7722,,"Tourism, Hospitality & Transportation",,,1573,4,1114,B,,
issn-1941-1391,Annual Review of Economics,1941-1391,,1941-1391,,Economics,,,150,3,,,,
issn-1941-1375,Annual Review of Financial Economics,1941-1375,,1941-1375,,Finance,,,629,3,,,,
issn-0066-4308,Annual Review of Psychology,0066-4308,1545-2085,0066-4308;1545-2085,,Psychology & Behavior,,,1332,4,934,B,,
issn-1545-2115,Annual Review of Sociology,1545-2115,,1545-2115,,Social Sciences,,,1685,4*,,,,
issn-1467-8330,Antipode,1467-8330,,1467-8330,,Social Sciences,,,1694,3,,,,
issn-0003-6870,Applied Ergonomics,0003-6870,1872-9126,0003-6870;1872-9126,,Psychology & Behavior,,,1412,3,,,,
issn-0269-994x,Applied Psychology,0269-994X,1464-0597,0269-994X;1464-0597,,Psychology & Behavior,,,1413,3,935,B,,
issn-0217-4561,Asia Pacific Journal of Management,0217-4561,1572-9958,0217-4561;1572-9958,,International Business & Affairs,,,808,3,642,B,,
issn-0278-0380,Auditing,0278-0380,1558-7991,0278-0380;1558-7991,,Accounting & Auditing,,,12,3,11,B,,
issn-1035-7718,Australian Journal of International Affairs,1035-7718,,1035-7718,,International Business & Affairs,,,,,643,B,,
issn-1469-1825,Behavioral and Brain Sciences,1469-1825,,1469-1825,,Psychology & Behavior,,,1333,4,,,,
issn-1050-4753,Behavioral Research in Accounting,1050-4753,1558-8009,1050-4753;1558-8009,,Accounting & Auditing,,,13,3,12,B,,
issn-0006-3444,Biometrika,0006-3444,1464-3510,0006-3444;1464-3510,,Statistics & Econometrics,,,127,4,128,A,,
issn-1465-4644,Biostatistics,1465-4644,,1465-4644,,Statistics & Econometrics,,,,,135,B,,
issn-0890-8389,British Accounting Review,0890-8389,1095-8347,0890-8389;1095-8347,,Accounting & Auditing,,,14,3,13,B,,
issn-0007-1080,British Journal of Industrial Relations,0007-1080,1467-8543,0007-1080;1467-8543,,Human Resources & Employment,,,748,4,462,B,,
issn-1045-3172,British Journal of Management,1045-3172,1467-8551,1045-3172;1467-8551,,Management & Organization,,,516,4,396,B,,
issn-0007-1269,British Journal of Psychology,0007-1269,2044-8295,0007-1269;2044-8295,,Psychology & Behavior,,,1344,3,936,B,,
issn-0144-6665,British Journal of Social Psychology,0144-6665,2044-8309,0144-6665;2044-8309,,Psychology & Behavior,,,1345,3,937,B,,
issn-1468-4446,British Journal of Sociology,1468-4446,,1468-4446,,Social Sciences,,,1695,3,,,,
issn-0007-1870,British Tax Review,0007-1870,,0007-1870,,Accounting & Auditing,,,15,3,14,B,,
issn-0007-2303,Brookings Papers on Economic Activity,0007-2303,1533-4465,0007-2303;1533-4465,,Economics,,,151,3,495,B,,
issn-0007-6503,Business and Society,0007-6503,1552-4205,0007-6503;1552-4205,,Management & Organization,,,519,3,397,B,,
issn-1052-150x,Business Ethics Quarterly,1052-150X,2153-3326,1052-150X;2153-3326,,Human Resources & Employment,,,520,3,463,B,,
issn-0007-6791,Business History,0007-6791,1743-7938,0007-6791;1743-7938,,Business History,,,90,4,102,B,,
issn-0007-6805,Business History Review,0007-6805,2044-768X,0007-6805;2044-768X,,Business History,,,91,4,103,B,,
issn-0964-4733,Business Strategy and the Environment,0964-4733,1099-0836,0964-4733;1099-0836,,Management & Organization,,,1696,3,398,B,,
issn-0008-1256,California Management Review,0008-1256,2162-8564,0008-1256;2162-8564,,Management & Organization,,,521,3,399,B,,
issn-0309-166x,Cambridge Journal of Economics,0309-166X,1464-3545,0309-166X;1464-3545,,Economics,,,152,3,334,B,,
issn-1752-1386,"Cambridge Journal of Regions, Economy and Society",1752-1386,,1752-1386,,"Regional, Environmental & Resource Studies",,,1544,3,,,,
issn-0008-4085,Canadian Journal of Economics,0008-4085,1540-5982,0008-4085;1540-5982,,Economics,,,153,3,335,B,,
issn-1043-951x,China Economic Review,1043-951X,,1043-951X,,Economics,,,,,496,B,,
issn-1469-3062,Climate Policy,1469-3062,,1469-3062,,"Regional, Environmental & Resource Studies",,,,,1012,B,,
issn-1873-7838,Cognition,1873-7838,,1873-7838,,Psychology & Behavior,,,1334,4,,,,
issn-1551-6709,Cognitive Science,1551-6709,,1551-6709,,Psychology & Behavior,,,1346,3,,,,
issn-2772-4247,Communications in Transportation Research,2772-4247,,2772-4247,,"Tourism, Hospitality & Transportation",,,,,1152,B,,
issn-0001-0782,Communications of the ACM,0001-0782,,0001-0782,,Information Systems,,,,,571,B,,
issn-1573-2894,Computational Optimization and Applications,1573-2894,,1573-2894,,Operations & Management Science,,,1223,3,,,,
issn-0167-9473,Computational Statistics and Data Analysis,0167-9473,1872-7352,0167-9473;1872-7352,,Statistics & Econometrics,,,154,3,136,B,,
issn-0360-8352,Computers & Industrial Engineering,0360-8352,,0360-8352,,Operations & Management Science,,,,,849,B,,
issn-0305-0548,Computers and Operations Research,0305-0548,1873-765X,0305-0548;1873-765X,,Operations & Management Science,,,1224,3,850,B,,
issn-0747-5632,Computers in Human Behavior,0747-5632,,0747-5632,,Information Systems,,,,,572,B,,
issn-1872-6194,Computers in Industry,1872-6194,,1872-6194,,Information Systems,,,1146,3,,,,
issn-0144-6193,Construction Management and Economics,0144-6193,,0144-6193,,Engineering & Industrial Management,,,,,544,B,,
issn-0823-9150,Contemporary Accounting Research,0823-9150,1911-3846,0823-9150;1911-3846,,Accounting & Auditing,,,5,4,3,A,,
issn-1938-9663,Cornell Hospitality Quarterly,1938-9663,,1938-9663,,"Tourism, Hospitality & Transportation",,,,,1115,B,,
issn-0964-8410,Corporate Governance: An International Review,0964-8410,1467-8683,0964-8410;1467-8683,,Accounting & Auditing,,,630,3,15,B,,
issn-1045-2354,Critical Perspectives on Accounting,1045-2354,1095-9955,1045-2354;1095-9955,,Accounting & Auditing,,,16,3,16,B,,
issn-0963-7214,Current Directions in Psychological Science,0963-7214,1467-8721,0963-7214;1467-8721,,Psychology & Behavior,,,1335,4,938,B,,
issn-1368-3500,Current Issues in Tourism,1368-3500,,1368-3500,,"Tourism, Hospitality & Transportation",,,,,1116,B,,
issn-0169-023x,Data & Knowledge Engineering,0169-023X,,0169-023X,,Information Systems,,,,,573,B,,
issn-1532-0936,Data Base for Advances in Information Systems,1532-0936,,1532-0936,,Information Systems,,,,,574,B,,
issn-1545-8490,Decision Analysis,1545-8490,,1545-8490,,Operations & Management Science,,,,,851,B,,
issn-0011-7315,Decision Sciences,0011-7315,1540-5915,0011-7315;1540-5915,,Operations & Management Science,,,1225,3,852,B,,
issn-0167-9236,Decision Support Systems,0167-9236,1873-5797,0167-9236;1873-5797,,Information Systems,,,869,3,575,B,,
issn-0070-3370,Demography,0070-3370,,0070-3370,,Economics,,,,,694,B,,
issn-1467-7660,Development and Change,1467-7660,,1467-7660,,International Business & Affairs,,,1697,3,,,,
issn-0361-3666,Disasters,0361-3666,,0361-3666,,Risk & Safety Management,,,,,1053,B,,
issn-0921-8009,Ecological Economics,0921-8009,1873-6106,0921-8009;1873-6106,,"Regional, Environmental & Resource Studies",,,155,3,1013,B,,
issn-0012-9682,Econometrica,0012-9682,1468-0262,0012-9682;1468-0262,,Economics,,,121,4*,324,A,,
issn-0747-4938,Econometric Reviews,0747-4938,1532-4168,0747-4938;1532-4168,,Statistics & Econometrics,,,156,3,137,B,,
issn-1368-4221,Econometrics Journal,1368-4221,1368-423X,1368-4221;1368-423X,,Statistics & Econometrics,,,157,3,138,B,,
issn-0266-4666,Econometric Theory,0266-4666,1469-4360,0266-4666;1469-4360,,Statistics & Econometrics,,,128,4,129,A,,
issn-0013-0427,Economica,0013-0427,1468-0335,0013-0427;1468-0335,,Economics,,,162,3,336,B,,
issn-1461-7099,Economic and Industrial Democracy,1461-7099,,1461-7099,,Human Resources & Employment,,,752,3,,,,
issn-0013-0079,Economic Development and Cultural Change,0013-0079,1539-2988,0013-0079;1539-2988,,Economics,,,158,3,497,B,,
issn-0013-0095,Economic Geography,0013-0095,1944-8287,0013-0095;1944-8287,,"Regional, Environmental & Resource Studies",,,1541,4,76,A,,
issn-0013-0117,Economic History Review,0013-0117,1468-0289,0013-0117;1468-0289,,Business History,,,92,4,104,B,,
issn-0095-2583,Economic Inquiry,0095-2583,1465-7295,0095-2583;1465-7295,,Economics,,,159,3,337,B,,
issn-0013-0133,Economic Journal,0013-0133,1468-0297,0013-0133;1468-0297,,Economics,,,129,4,325,A,,
issn-0266-4658,Economic Policy,0266-4658,1468-0327,0266-4658;1468-0327,,Economics,,,160,3,730,B,,
issn-0165-1765,Economics Letters,0165-1765,1873-7374,0165-1765;1873-7374,,Economics,,,163,3,338,B,,
issn-0272-7757,Economics of Education Review,0272-7757,,0272-7757,,Education Management,,,,,192,B,,
issn-0938-2259,Economic Theory,0938-2259,1432-0479,0938-2259;1432-0479,,Economics,,,161,3,170,B,,
issn-0308-5147,Economy and Society,0308-5147,1469-5766,0308-5147;1469-5766,,International Business & Affairs,,,1698,3,644,B,,
issn-0261-3794,Electoral Studies,0261-3794,1873-6890,0261-3794;1873-6890,,Social Sciences,,,1699,3,,,,
issn-0140-9883,Energy Economics,0140-9883,1873-6181,0140-9883;1873-6181,,"Regional, Environmental & Resource Studies",,,164,3,1014,B,,
issn-0195-6574,Energy Journal,0195-6574,1944-9089,0195-6574;1944-9089,,"Regional, Environmental & Resource Studies",,,1578,3,1015,B,,
issn-0301-4215,Energy Policy,0301-4215,,0301-4215,,"Regional, Environmental & Resource Studies",,,,,1016,B,,
issn-1467-2235,Enterprise and Society,1467-2235,,1467-2235,,Business History,,,93,3,,,,
issn-0898-5626,Entrepreneurship and Regional Development,0898-5626,1464-5114,0898-5626;1464-5114,,Entrepreneurship & Small Business,,,477,3,216,B,,
issn-1042-2587,Entrepreneurship Theory and Practice,1042-2587,1540-6520,1042-2587;1540-6520,,Entrepreneurship & Small Business,,,474,4*,213,A,,
issn-0924-6460,Environmental and Resource Economics,0924-6460,1573-1502,0924-6460;1573-1502,,"Regional, Environmental & Resource Studies",,,165,3,1017,B,,
issn-1462-9011,Environmental Science and Policy,1462-9011,1873-6416,1462-9011;1873-6416,,"Regional, Environmental & Resource Studies",,,1701,3,1018,B,,
issn-1520-5851,Environmental Science & Technology,1520-5851,,1520-5851,,Social Sciences,,,1700,3,,,,
issn-1355-770x,Environment and Development Economics,1355-770X,,1355-770X,,"Regional, Environmental & Resource Studies",,,,,1019,B,,
