source,title,issn,id,area
scholarly,American Economic Journal: Applied Economics,1945-7782,1945-7782,Development Economics
scholarly,Journal of Development Economics,0304-3878,0304-3878,Development Economics
scholarly,Journal of Public Economics,0047-2727,0047-2727,Development Economics
scholarly,RAND Journal of Economics,0741-6261,0741-6261,Development Economics
scholarly,Entrepreneurship Theory and Practice,1042-2587,1042-2587,Management
scholarly,Journal of Business Venturing,0883-9026,0883-9026,Management
scholarly,Strategic Entrepreneurship Journal,1932-4391,1932-4391,Management
scholarly,Risk Analysis,0272-4332,0272-4332,Management
scholarly,European Journal of Operational Research,0377-2217,0377-2217,Management
scholarly,Frontiers of Engineering Management,2095-7513,2095-7513,Management
scholarly,IISE Transactions,2472-5862,2472-5862,Management
scholarly,Journal of Public Administration Research and Theory,1053-1858,1053-1858,Management
scholarly,Public Administration,0033-3298,0033-3298,Management
scholarly,Public Administration Review,0033-3352,0033-3352,Management
scholarly,Public Management Review,1471-9037,1471-9037,Management
scholarly,Journal of International Business Studies,0047-2506,0047-2506,Other
scholarly,Journal of World Business,1090-9516,1090-9516,Other
scholarly,American Economic Journal: Macroeconomics,1945-7707,1945-7707,Economics
scholarly,Journal of International Economics,0022-1996,0022-1996,Economics
scholarly,Journal of Monetary Economics,0304-3932,0304-3932,Economics
scholarly,Accounting Organizations and Society,0361-3682,0361-3682,Accounting
scholarly,Accounting Review,0001-4826,0001-4826,Accounting
scholarly,Contemporary Accounting Research,0823-9150,0823-9150,Accounting
scholarly,Journal of Accounting and Economics,0165-4101,0165-4101,Accounting
scholarly,Journal of Accounting Research,0021-8456,0021-8456,Accounting
scholarly,Review of Accounting Studies,1380-6653,1380-6653,Accounting
scholarly,Annals of Statistics,0090-5364,0090-5364,Economics
scholarly,Biometrika,0006-3444,0006-3444,Economics
scholarly,Econometric Theory,0266-4666,0266-4666,Economics
scholarly,Journal of Business & Economic Statistics,0735-0015,0735-0015,Economics
scholarly,Journal of Econometrics,0304-4076,0304-4076,Economics
scholarly,Journal of the American Statistical Association,0162-1459,0162-1459,Economics
scholarly,Journal of the Royal Statistical Society Series B-Stastistical Methodology,1369-7412,1369-7412,Economics
scholarly,Transportation Research Part A: Policy and Practice,0965-8564,0965-8564,Management
scholarly,Transportation Research Part B: Methodological,0191-2615,0191-2615,Management
scholarly,Transportation Science,0041-1655,0041-1655,Management
scholarly,Academy of Management Learning & Education,1537-260X,1537-260X,Management
scholarly,Journal of Finance,0022-1082,0022-1082,Finance
scholarly,Journal of Financial and Quantitative Analysis,0022-1090,0022-1090,Finance
scholarly,Journal of Financial Economics,0304-405X,0304-405X,Finance
scholarly,Review of Finance,1572-3097,1572-3097,Finance
scholarly,Review of Financial Studies,0893-9454,0893-9454,Finance
scholarly,Journal of Economic History,0022-0507,0022-0507,Economics
scholarly,Journal of Economic Literature,0022-0515,0022-0515,Economics
scholarly,Journal of Product Innovation Management,0737-6782,0737-6782,Management
scholarly,Research Policy,0048-7333,0048-7333,Management
scholarly,Journal of Labor Economics,0734-306X,0734-306X,Labor Economics
scholarly,American Economic Journal: Microeconomics,1945-7669,1945-7669,Economics
scholarly,Games and Economic Behavior,0899-8256,0899-8256,Economics
scholarly,Journal of Economic Theory,0022-0531,0022-0531,Economics
scholarly,Theoretical Economics,1933-6837,1933-6837,Economics
scholarly,Journal of Travel Research,0047-2875,0047-2875,Tourism Management
scholarly,Tourism Management,0261-5177,0261-5177,Tourism Management
scholarly,American Journal of Agricultural Economics,0002-9092,0002-9092,Agricultural Economics
scholarly,Economic Geography,0013-0095,0013-0095,Economics
scholarly,Journal of Urban Economics,0094-1190,0094-1190,Economics
scholarly,Human Resource Management,0090-4848,0090-4848,Management
scholarly,Human Resource Management Journal,0954-5395,0954-5395,Management
