source,title,issn,id,area
cnki,管理世界,1002-5502,GLSJ,Chinese Journals
cnki,经济研究,0577-9154,JJYJ,Chinese Journals
cnki,管理科学学报,1007-9807,JCYJ,Chinese Journals
cnki,中国社会科学,1002-4921,ZSHK,Chinese Journals
cnki,南开管理评论,1008-3448,LKGP,Chinese Journals
cnki,系统工程理论与实践,1000-6788,XTLL,Chinese Journals
cnki,中国工业经济,1006-480X,GGYY,Chinese Journals
cnki,金融研究,1002-7246,JRYJ,Chinese Journals
cnki,中国管理科学,1003-207X,ZGGK,Chinese Journals
cnki,会计研究,1003-2886,KJYJ,Chinese Journals
cnki,经济学（季刊）,2095-1086,JJXU,Chinese Journals
cnki,世界经济,1002-9621,SJJJ,Chinese Journals
cnki,管理工程学报,1004-6062,GLGU,Chinese Journals
cnki,公共管理学报,1672-6162,GGGL,Chinese Journals
cnki,中国软科学,1005-0566,ZGRK,Chinese Journals
cnki,管理科学,1672-0334,JCJJ,Chinese Journals
cnki,数量经济技术经济研究,1000-3894,SLJY,Chinese Journals
cnki,心理学报,0439-755X,XLXB,Chinese Journals
cnki,科研管理,1000-2995,KYGL,Chinese Journals
cnki,管理评论,1003-1952,ZWGD,Chinese Journals
cnki,科学学研究,1003-2053,KXYJ,Chinese Journals
cnki,情报学报,1000-0135,QBXB,Chinese Journals
cnki,统计研究,1002-4565,TJYJ,Chinese Journals
cnki,中国农村经济,1002-8870,ZNJJ,Chinese Journals
cnki,中国图书馆学报,1001-8867,ZGTS,Chinese Journals
cnki,工程管理科技前沿,2097-0145,YUCE,Chinese Journals
cnki,管理学报,1672-884X,GLXB,Chinese Journals
cnki,计量经济学报,2096-9732,JLJX,Chinese Journals
