source,title,issn,id,area
scholarly,The Accounting Review,0001-4826,0001-4826,Accounting
scholarly,Journal of Accounting and Economics,0165-4101,0165-4101,Accounting
scholarly,Journal of Accounting Research,0021-8456,0021-8456,Accounting
scholarly,The Journal of Finance,0022-1082,0022-1082,Finance
scholarly,Journal of Financial Economics,0304-405X,0304-405X,Finance
scholarly,Review of Financial Studies,0893-9454,0893-9454,Finance
scholarly,Information Systems Research,1047-7047,1047-7047,Information Systems
scholarly,INFORMS Journal on Computing,1091-9856,1091-9856,Information Systems
scholarly,MIS Quarterly,0276-7783,0276-7783,Information Systems
scholarly,Journal of International Business Studies,0047-2506,0047-2506,International Business
scholarly,Journal of Consumer Research,0093-5301,0093-5301,Marketing
scholarly,Journal of Marketing,0022-2429,0022-2429,Marketing
scholarly,Journal of Marketing Research,0022-2437,0022-2437,Marketing
scholarly,Marketing Science,0732-2399,0732-2399,Marketing
scholarly,Academy of Management Journal,0001-4273,0001-4273,Management
scholarly,Academy of Management Review,0363-7425,0363-7425,Management
scholarly,Administrative Science Quarterly,0001-8392,0001-8392,Management
scholarly,Management Science,0025-1909,0025-1909,Management
scholarly,Strategic Management Journal,0143-2095,0143-2095,Management
scholarly,Journal of Operations Management,0272-6963,0272-6963,Operations
scholarly,Manufacturing & Service Operations Management,1523-4614,1523-4614,Operations
scholarly,Operations Research,0030-364X,0030-364X,Operations
scholarly,Production and Operations Management,1059-1478,1059-1478,Operations
scholarly,Organization Science,1047-7039,1047-7039,Organizational Behaviour
